500,3778,988,2025-07-03,2026-07-18,1372.1,3,Chase,13.52
501,3658,9,2024-02-27,2025-09-20,1050.11,9,American Express,1.07
502,9463,132,2025-07-07,2025-03-19,1284.18,4,Visa,16.35
503,7962,177,2024-09-28,2025-06-19,951.84,9,Visa,10.48
504,2729,270,2025-01-22,2026-08-30,1163.67,1,Visa,18.26
505,1811,198,2025-01-12,2026-07-20,1251.83,5,MasterCard,5.8
506,5008,328,2025-04-29,2025-03-16,1394.51,10,Discover,6.73
507,4279,270,2025-07-19,2026-06-17,1080.83,4,Visa,20.87
508,1480,831,2025-02-08,2025-01-06,617.31,9,American Express,10.12
509,6051,811,2024-07-05,2026-07-13,1437.63,2,Visa,11.85
510,1686,552,2025-08-19,2026-07-25,1254.19,6,Discover,2.3
511,6308,281,2025-05-23,2026-04-15,1232.48,8,American Express,19.25
512,5748,416,2025-12-08,2025-09-30,1397.4,2,MasterCard,15.56
513,7305,494,2024-08-11,2025-12-04,718.74,10,Visa,10.13
514,9146,469,2024-01-13,2026-01-22,667.03,5,Visa,3.5
515,5646,254,2025-10-15,2025-09-14,861.16,7,Discover,7.64
516,784,332,2025-12-14,2026-08-15,1492.56,10,American Express,17.19
517,8513,581,2025-01-23,2026-03-25,1282.35,9,MasterCard,11.92
518,2807,275,2024-07-04,2026-04-14,1130.27,3,MasterCard,4.47
519,3764,646,2024-12-01,2026-05-07,543.67,9,Discover,20.21
520,5045,271,2025-07-02,2026-03-10,1208.96,4,MasterCard,7.23
521,1519,614,2024-11-07,2026-10-17,1355.0,8,MasterCard,23.36
522,9774,214,2024-09-17,2026-01-28,1053.04,4,Visa,24.71
523,7368,587,2025-10-29,2026-07-24,855.72,3,Discover,14.47
524,930,336,2025-12-23,2025-09-19,926.12,8,American Express,22.02
525,9620,517,2025-09-13,2025-06-01,654.12,5,American Express,14.32
526,2110,384,2024-03-03,2025-08-31,820.44,6,American Express,24.45
527,5919,175,2025-09-29,2025-06-19,580.29,6,American Express,20.33
528,2852,882,2025-10-21,2026-06-03,1430.15,9,American Express,4.24
529,2920,46,2024-06-29,2026-06-22,1186.12,1,MasterCard,22.64
530,955,546,2025-02-10,2025-07-07,670.97,9,Visa,15.19
531,1383,339,2024-08-15,2026-09-10,1103.98,4,Discover,5.75
532,4788,379,2025-08-02,2025-07-21,559.61,6,Visa,18.58
533,3650,505,2024-03-03,2025-06-01,1439.62,8,MasterCard,1.66
534,3389,329,2024-03-05,2026-11-08,1484.56,10,Discover,7.21
535,6498,884,2024-06-06,2025-03-28,1460.15,1,Visa,20.65
536,5090,340,2024-04-18,2025-05-20,1284.95,2,Chase,11.76
537,4973,244,2024-08-03,2026-10-31,1475.24,6,Discover,19.09
538,9854,371,2025-12-31,2026-12-21,519.83,5,American Express,5.32
539,5728,595,2025-12-15,2026-08-09,1386.52,6,American Express,15.32
540,4249,338,2024-04-21,2026-10-28,726.03,4,MasterCard,9.4
541,836,175,2024-07-24,2025-12-16,1465.31,4,Discover,21.53
542,6598,508,2024-09-12,2025-06-23,1129.51,10,Discover,9.81
543,3700,332,2024-12-18,2025-03-16,517.88,7,Chase,17.46
544,5780,987,2024-12-16,2026-05-19,1177.55,3,MasterCard,11.65
545,5126,119,2025-09-09,2025-03-31,1292.32,3,American Express,7.91
546,4698,996,2024-01-27,2026-11-12,1459.8,8,Visa,3.43
547,9167,559,2024-07-21,2026-01-31,957.46,8,Discover,13.57
548,8470,205,2025-01-11,2026-06-19,1218.86,9,MasterCard,10.25
549,3482,925,2025-06-23,2025-09-13,634.74,10,American Express,10.04
550,4884,409,2024-11-25,2025-03-09,1232.23,5,Chase,6.33
551,1524,785,2024-08-08,2026-07-22,749.11,5,Visa,21.76
552,9276,940,2024-11-27,2025-09-23,735.19,7,Chase,18.74
553,3003,17,2025-12-06,2025-12-03,1136.16,5,Chase,20.08
554,8541,604,2024-12-23,2025-09-29,1237.29,10,Discover,12.0
555,7742,684,2025-09-07,2026-08-17,1361.81,2,MasterCard,4.03
556,8885,819,2024-09-25,2025-10-19,1165.28,2,Chase,18.28
557,7577,29,2024-09-23,2026-08-06,873.14,8,Chase,1.66
558,1330,324,2025-09-24,2026-07-25,650.08,9,MasterCard,11.9
559,4226,738,2024-11-26,2025-05-28,883.97,4,Chase,13.94
560,4942,188,2024-09-03,2026-08-29,1218.27,3,Chase,7.05
561,7333,892,2025-10-03,2025-04-24,933.2,3,Discover,22.55
562,1803,788,2024-01-13,2025-07-17,1106.04,8,American Express,16.32
563,3811,134,2025-05-08,2025-04-28,1241.16,4,Visa,3.94
564,2780,429,2025-05-02,2025-05-25,1151.64,6,MasterCard,8.63
565,3780,659,2025-12-31,2025-03-06,1468.32,7,Discover,3.04
566,6341,222,2024-11-25,2026-08-04,1143.61,8,Discover,14.53
567,9206,32,2025-04-09,2025-11-11,559.02,8,MasterCard,18.08
568,417,313,2025-05-24,2026-04-25,1145.23,1,Visa,19.74
569,1360,923,2025-04-10,2025-09-26,669.89,8,Discover,4.11
570,7264,583,2024-03-05,2025-02-13,1248.06,6,Discover,20.37
571,2754,36,2025-11-23,2025-12-22,1063.77,1,American Express,18.03
572,6997,535,2024-01-20,2026-12-06,1388.89,1,American Express,12.02
573,3146,127,2025-03-24,2025-01-30,1455.88,9,Chase,6.38
574,1683,979,2024-02-20,2025-02-06,738.0,5,Chase,9.48
575,2323,967,2024-02-18,2026-12-18,582.82,9,MasterCard,8.82
576,8221,696,2025-12-15,2026-11-14,706.35,7,Visa,15.58
